"lr_pair","ligand_gene_symbol","receptor_gene_symbol","ligand_gene_id","receptor_gene_id","ligand_ensembl_protein_id","receptor_ensembl_protein_id","ligand_ensembl_gene_id","receptor_ensembl_gene_id","evidence"
"Il15_Il15ra","Il15","Il15ra",16168,16169,"ENSMUSP00000034148","ENSMUSP00000077878","ENSMUSG00000031712","ENSMUSG00000023206","12453470"
"Il15_Il2rb","Il15","Il2rb",16168,16185,"ENSMUSP00000034148","ENSMUSP00000086820","ENSMUSG00000031712","ENSMUSG00000068227","28507024"
"Il15_Il11ra1","Il15","Il11ra1",16168,16157,"ENSMUSP00000034148","ENSMUSP00000095736","ENSMUSG00000031712","ENSMUSG00000073889","15499555"
"Mmp2_Itgb1","Mmp2","Itgb1",17390,16412,"ENSMUSP00000034187","ENSMUSP00000087457","ENSMUSG00000031740","ENSMUSG00000025809","24611815,22349830"
"Cx3cl1_Itga4","Cx3cl1","Itga4",20312,16401,"ENSMUSP00000034230","ENSMUSP00000099718","ENSMUSG00000031778","ENSMUSG00000027009","23125415"
"Cx3cl1_Itgb1","Cx3cl1","Itgb1",20312,16412,"ENSMUSP00000034230","ENSMUSP00000087457","ENSMUSG00000031778","ENSMUSG00000025809","23125415"
"Cx3cl1_Cx3cr1","Cx3cl1","Cx3cr1",20312,13051,"ENSMUSP00000034230","ENSMUSP00000063986","ENSMUSG00000031778","ENSMUSG00000052336","9931005,10805752,10699158"
"Ccl22_Ccr4","Ccl22","Ccr4",20299,12773,"ENSMUSP00000034231","ENSMUSP00000062677","ENSMUSG00000031779","ENSMUSG00000047898","10508268,10699158,24218476"
"Ccl22_Ackr2","Ccl22","Ackr2",20299,59289,"ENSMUSP00000034231","ENSMUSP00000050119","ENSMUSG00000031779","ENSMUSG00000044534","15067078,10699158"
"Ccl22_Dpp4","Ccl22","Dpp4",20299,13482,"ENSMUSP00000034231","ENSMUSP00000044050","ENSMUSG00000031779","ENSMUSG00000035000","24218476"
"Ccl17_Ccr8","Ccl17","Ccr8",20295,12776,"ENSMUSP00000034232","ENSMUSP00000038473","ENSMUSG00000031780","ENSMUSG00000042262","12050190,10699158"
"Ccl17_Ccr4","Ccl17","Ccr4",20295,12773,"ENSMUSP00000034232","ENSMUSP00000062677","ENSMUSG00000031780","ENSMUSG00000047898","10508268,10699158"
"Ccl17_Ackr1","Ccl17","Ackr1",20295,13349,"ENSMUSP00000034232","ENSMUSP00000045134","ENSMUSG00000031780","ENSMUSG00000037872","10699158"
"Ccl17_Ackr2","Ccl17","Ackr2",20295,59289,"ENSMUSP00000034232","ENSMUSP00000050119","ENSMUSG00000031780","ENSMUSG00000044534","15067078,10699158"
"Insl3_Rxfp2","Insl3","Rxfp2",16336,140498,"ENSMUSP00000034261","ENSMUSP00000067897","ENSMUSG00000079019","ENSMUSG00000053368","24478759"
"Insl3_Rxfp1","Insl3","Rxfp1",16336,381489,"ENSMUSP00000034261","ENSMUSP00000077611","ENSMUSG00000079019","ENSMUSG00000034009","25761609"
"Jam3_Itgam","Jam3","Itgam",83964,16409,"ENSMUSP00000034472","ENSMUSP00000068468","ENSMUSG00000031990","ENSMUSG00000030786","12208882"
"Jam3_Itga4","Jam3","Itga4",83964,16401,"ENSMUSP00000034472","ENSMUSP00000099718","ENSMUSG00000031990","ENSMUSG00000027009","19740376"
"Jam3_Itgal","Jam3","Itgal",83964,16408,"ENSMUSP00000034472","ENSMUSP00000101913","ENSMUSG00000031990","ENSMUSG00000030830","29282280"
"Jam3_Itgb1","Jam3","Itgb1",83964,16412,"ENSMUSP00000034472","ENSMUSP00000087457","ENSMUSG00000031990","ENSMUSG00000025809","17099249"
"Apoc3_Ldlr","Apoc3","Ldlr",11814,16835,"ENSMUSP00000034586","ENSMUSP00000034713","ENSMUSG00000032081","ENSMUSG00000032193","27400128"
"Apoc3_Lrp1","Apoc3","Lrp1",11814,16971,"ENSMUSP00000034586","ENSMUSP00000044004","ENSMUSG00000032081","ENSMUSG00000040249","27400128"
"Apoa1_Lrp2","Apoa1","Lrp2",11806,14725,"ENSMUSP00000034588","ENSMUSP00000079752","ENSMUSG00000032083","ENSMUSG00000027070","10766831"
"Lipc_Scarb1","Lipc","Scarb1",15450,20778,"ENSMUSP00000034731","ENSMUSP00000083242","ENSMUSG00000032207","ENSMUSG00000037936","10393214,9831632"
"Lipc_Lrp1","Lipc","Lrp1",15450,16971,"ENSMUSP00000034731","ENSMUSP00000044004","ENSMUSG00000032207","ENSMUSG00000040249","9716487,8725146"
"Ptgs2_Ptger4","Ptgs2","Ptger4",19225,19219,"ENSMUSP00000035065","ENSMUSP00000048736","ENSMUSG00000032487","ENSMUSG00000039942","21311040"
"Ptgs2_Ptger3","Ptgs2","Ptger3",19225,19218,"ENSMUSP00000035065","ENSMUSP00000043302","ENSMUSG00000032487","ENSMUSG00000040016","22915243,15925391,21311040"
"Ptgs2_Ptger2","Ptgs2","Ptger2",19225,19217,"ENSMUSP00000035065","ENSMUSP00000038483","ENSMUSG00000032487","ENSMUSG00000037759","22522619"
"Tdgf1_Acvr2b","Tdgf1","Acvr2b",21667,11481,"ENSMUSP00000035075","ENSMUSP00000126108","ENSMUSG00000032494","ENSMUSG00000061393","12682303"
"Tdgf1_Acvr2a","Tdgf1","Acvr2a",21667,11480,"ENSMUSP00000035075","ENSMUSP00000067305","ENSMUSG00000032494","ENSMUSG00000052155","12682303"
"Tdgf1_Gpc1","Tdgf1","Gpc1",21667,14733,"ENSMUSP00000035075","ENSMUSP00000047199","ENSMUSG00000032494","ENSMUSG00000034220","12649175"
"Tdgf1_Fzd7","Tdgf1","Fzd7",21667,14369,"ENSMUSP00000035075","ENSMUSP00000109884","ENSMUSG00000032494","ENSMUSG00000041075","29445127"
"Ucn_Crhr1","Ucn","Crhr1",22226,12921,"ENSMUSP00000035321","ENSMUSP00000091455","ENSMUSG00000038676","ENSMUSG00000018634","11416224"
"Ntng2_Lrrc4c","Ntng2","Lrrc4c",171171,241568,"ENSMUSP00000035468","ENSMUSP00000131795","ENSMUSG00000035513","ENSMUSG00000050587","22041449"
"Ntng2_Lrrc4","Ntng2","Lrrc4",171171,192198,"ENSMUSP00000035468","ENSMUSP00000062158","ENSMUSG00000035513","ENSMUSG00000049939","17973922"
"Avp_Oxtr","Avp","Oxtr",11998,18430,"ENSMUSP00000035551","ENSMUSP00000051132","ENSMUSG00000037727","ENSMUSG00000049112","20663860"
"Lgals3bp_Itgb1","Lgals3bp","Itgb1",19039,16412,"ENSMUSP00000035579","ENSMUSP00000087457","ENSMUSG00000033880","ENSMUSG00000025809","9501082"
"Apob_Lrp2","Apob","Lrp2",238055,14725,"ENSMUSP00000036044","ENSMUSP00000079752","ENSMUSG00000020609","ENSMUSG00000027070","10330424,7642623"
"Apob_Scarb1","Apob","Scarb1",238055,20778,"ENSMUSP00000036044","ENSMUSP00000083242","ENSMUSG00000020609","ENSMUSG00000037936","21157967"
"Apob_Apobr","Apob","Apobr",238055,171504,"ENSMUSP00000036044","ENSMUSP00000042028","ENSMUSG00000020609","ENSMUSG00000042759","12177162"
"Apob_Lrp1","Apob","Lrp1",238055,16971,"ENSMUSP00000036044","ENSMUSP00000044004","ENSMUSG00000020609","ENSMUSG00000040249","31077676"
"Apob_Tlr4","Apob","Tlr4",238055,21898,"ENSMUSP00000036044","ENSMUSP00000045770","ENSMUSG00000020609","ENSMUSG00000039005","31858317"
"Apob_Mttp","Apob","Mttp",238055,17777,"ENSMUSP00000036044","ENSMUSP00000096179","ENSMUSG00000020609","ENSMUSG00000028158","29650752"
"Apob_Cd36","Apob","Cd36",238055,12491,"ENSMUSP00000036044","ENSMUSP00000131832","ENSMUSG00000020609","ENSMUSG00000002944","12543251"
"Wnt4_Musk","Wnt4","Musk",22417,18198,"ENSMUSP00000036580","ENSMUSP00000081625","ENSMUSG00000036856","ENSMUSG00000057280","22253844"
"Wnt4_Fzd2","Wnt4","Fzd2",22417,57265,"ENSMUSP00000036580","ENSMUSP00000091463","ENSMUSG00000036856","ENSMUSG00000050288","25605717"
"Wnt4_Fzd1","Wnt4","Fzd1",22417,14362,"ENSMUSP00000036580","ENSMUSP00000058629","ENSMUSG00000036856","ENSMUSG00000044674","22954793"
"Wnt4_Fzd10","Wnt4","Fzd10",22417,93897,"ENSMUSP00000036580","ENSMUSP00000114114","ENSMUSG00000036856","ENSMUSG00000081683","24269653"
"Wnt4_Fzd8","Wnt4","Fzd8",22417,14370,"ENSMUSP00000036580","ENSMUSP00000039660","ENSMUSG00000036856","ENSMUSG00000036904","25605717"
"Wnt4_Fzd5","Wnt4","Fzd5",22417,14367,"ENSMUSP00000036580","ENSMUSP00000067783","ENSMUSG00000036856","ENSMUSG00000045005","24269653,25605717"
"Wnt4_Fzd4","Wnt4","Fzd4",22417,14366,"ENSMUSP00000036580","ENSMUSP00000049852","ENSMUSG00000036856","ENSMUSG00000049791","24269653,19875303,25605717"
"Wnt4_Fzd7","Wnt4","Fzd7",22417,14369,"ENSMUSP00000036580","ENSMUSP00000109884","ENSMUSG00000036856","ENSMUSG00000041075","25605717"
"Fgg_Itga2b","Fgg","Itga2b",99571,16399,"ENSMUSP00000037018","ENSMUSP00000099375","ENSMUSG00000033860","ENSMUSG00000034664","2018974"
"Galp_Galr1","Galp","Galr1",232836,14427,"ENSMUSP00000037408","ENSMUSP00000066381","ENSMUSG00000034660","ENSMUSG00000024553","10689365"
"Galp_Galr2","Galp","Galr2",232836,14428,"ENSMUSP00000037408","ENSMUSP00000054062","ENSMUSG00000034660","ENSMUSG00000020793","17604107"
"Fgf2_Fgfr2","Fgf2","Fgfr2",14173,14183,"ENSMUSP00000037694","ENSMUSP00000112430","ENSMUSG00000037225","ENSMUSG00000030849","10950949,24563485,16597617,23403721"
"Fgf2_Fgfr1","Fgf2","Fgfr1",14173,14182,"ENSMUSP00000037694","ENSMUSP00000081041","ENSMUSG00000037225","ENSMUSG00000031565","23403721,10821861"
"Fgf2_Sdc3","Fgf2","Sdc3",14173,20970,"ENSMUSP00000037694","ENSMUSP00000065877","ENSMUSG00000037225","ENSMUSG00000025743","8344959"
"Fgf2_Ptprz1","Fgf2","Ptprz1",14173,19283,"ENSMUSP00000037694","ENSMUSP00000088056","ENSMUSG00000037225","ENSMUSG00000068748","9705269"
"Fgf2_Fgfr3","Fgf2","Fgfr3",14173,14184,"ENSMUSP00000037694","ENSMUSP00000085122","ENSMUSG00000037225","ENSMUSG00000054252","16597617,31203572,29866768,30343534"
"Csf3_Csf3r","Csf3","Csf3r",12985,12986,"ENSMUSP00000037762","ENSMUSP00000101768","ENSMUSG00000038067","ENSMUSG00000028859","18393854"
"Bmp8a_Acvr2b","Bmp8a","Acvr2b",12163,11481,"ENSMUSP00000037779","ENSMUSP00000126108","ENSMUSG00000032726","ENSMUSG00000061393","28465413"
"Bmp8a_Acvr2a","Bmp8a","Acvr2a",12163,11480,"ENSMUSP00000037779","ENSMUSP00000067305","ENSMUSG00000032726","ENSMUSG00000052155","28465413"
